timestamp,strategy,pair,tf,signal,result,profit_loss
2025-11-26 00:14:43,Aggressive,USDCOP_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:14:44,Default,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Aggressive,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Conservative,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Breakout_Focus,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Default,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Aggressive,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Conservative,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Breakout_Focus,USDARS_otc,M10,SELL,WIN,0.92
2025-11-26 00:14:44,Default,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Aggressive,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Conservative,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Breakout_Focus,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Default,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Aggressive,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Conservative,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:44,Breakout_Focus,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:20:10,Default,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:20:10,Aggressive,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:20:10,Conservative,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:20:10,Breakout_Focus,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:20:10,Default,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:10,Aggressive,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:10,Conservative,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:10,Breakout_Focus,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Default,USDJPY_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Aggressive,USDJPY_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Conservative,USDJPY_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Breakout_Focus,USDJPY_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Default,AUDUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Aggressive,AUDUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Conservative,AUDUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:11,Breakout_Focus,AUDUSD_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:12,Default,USDCAD_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:12,Aggressive,USDCAD_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:12,Conservative,USDCAD_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:12,Breakout_Focus,USDCAD_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:13,Default,USDCOP_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:13,Aggressive,USDCOP_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:13,Breakout_Focus,USDCOP_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:14,Default,USDARS_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:14,Aggressive,USDARS_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:14,Conservative,USDARS_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:14,Breakout_Focus,USDARS_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:20:14,Default,#INTC_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:14,Aggressive,#INTC_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:14,Conservative,#INTC_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:14,Breakout_Focus,#INTC_otc,M5,BUY,LOSS,-1.0
2025-11-26 00:20:19,Default,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Aggressive,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Conservative,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Breakout_Focus,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Default,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Aggressive,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Conservative,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Breakout_Focus,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Default,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Aggressive,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Conservative,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Breakout_Focus,GBPUSD_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:19,Default,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Aggressive,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Conservative,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Breakout_Focus,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Default,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Aggressive,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Conservative,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Breakout_Focus,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Default,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Aggressive,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Conservative,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:19,Breakout_Focus,EURUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Default,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Aggressive,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Conservative,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Breakout_Focus,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Default,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Aggressive,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Conservative,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Breakout_Focus,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Default,AUDUSD_otc,M15,BUY,LOSS,-1.0
